ID	RA	Dec	SDSS Name
11956	2.08654	15.15601	J000820.76+150921.6
11989	6.49538	13.9294	J002558.89+135545.8
11994	6.49573	14.34799	J002558.97+142052.7
12002	6.2667	14.97091	J002504.00+145815.2
12025	4.89396	16.20418	J001934.54+161215.0
12293	170.12183	4.12838	J112029.23+040742.1
12318	168.68063	4.02452	J111443.35+040128.2
12371	168.27669	5.23417	J111306.40+051403.0
12372	168.2669	5.09616	J111304.05+050546.1
12455	170.07416	4.32036	J112017.79+041913.3
12458	170.3261	3.66474	J112118.26+033953.0
12460	170.2013	3.83918	J112048.30+035021.0
12533	172.8168	4.65244	J113116.03+043908.7
12966	189.13435	6.1696	J123632.24+061010.5
12970	188.97415	5.76106	J123553.79+054539.8
12983	190.13528	5.35554	J124032.46+052119.9
13005	192.85686	3.86654	J125125.64+035159.5
13037	190.81238	4.08389	J124314.97+040502.0
13074	192.89369	5.86356	J125134.48+055148.8
13159	196.35602	3.99159	J130525.44+035929.7
13227	194.9585	5.04756	J125950.03+050251.2
13512	204.05077	4.74009	J133612.18+044424.3
13551	206.2746	3.80428	J134505.90+034815.3
13624	207.96838	3.45502	J135152.41+032718.0
13666	210.0375	4.08078	J140008.99+040450.8
13775	117.98208	27.30297	J075155.69+271810.7
14712	139.74193	5.8884	J091858.06+055318.2
14784	144.84697	6.40167	J093923.27+062405.9
14831	151.37611	5.67207	J100530.26+054019.4
14943	154.00085	6.25145	J101600.20+061505.2
15151	160.71416	5.85989	J104251.39+055135.5
15155	160.22997	5.99141	J104054.93+055930.8
15165	160.42654	6.19592	J104142.37+061145.3
15166	160.3381	6.27898	J104121.14+061644.3
15181	160.01234	6.02058	J104002.96+060114.0
15211	160.10277	6.86048	J104024.66+065137.7
15242	162.57054	6.12259	J105016.92+060721.3
15257	162.02415	6.02067	J104805.79+060114.4
16655	136.16478	5.51205	J090439.54+053043.3
16695	135.31519	4.1181	J090115.64+040705.1
16756	139.32364	6.69766	J091717.67+064151.5
16815	139.63062	6.87317	J091831.34+065223.3
16841	142.90205	6.95239	J093136.49+065708.6
17135	121.92248	25.9253	J080741.39+255531.0
17640	164.87479	8.70921	J105929.94+084233.1
17659	164.53166	9.2761	J105807.59+091633.9
17684	165.1553	10.43721	J110037.27+102613.9
17865	172.33624	8.60233	J112920.69+083608.3
18202	182.89561	9.35192	J121134.94+092106.8
18220	181.40108	10.68703	J120536.25+104113.3
18335	184.72476	10.00282	J121853.94+100010.1
18421	185.027	10.07479	J122006.47+100429.2
18469	188.21457	8.73998	J123251.49+084423.9
18673	148.25748	7.46012	J095301.79+072736.4
18681	148.35237	7.8323	J095324.56+074956.2
18686	148.26093	7.84149	J095302.62+075029.3
18702	147.71494	8.22798	J095051.58+081340.7
18798	153.3736	7.90433	J101329.66+075415.5
18877	155.10483	7.67717	J102025.15+074037.8
18887	155.23145	8.31375	J102055.54+081849.4
18900	155.00674	8.5149	J102001.61+083053.6
19918	129.69577	7.48071	J083846.98+072850.5
19949	135.0461	7.7261	J090011.06+074333.9
19989	133.6068	8.21139	J085425.62+081241.0
20041	138.61545	8.07943	J091427.70+080445.9
20042	138.6836	8.60147	J091444.06+083605.3
20133	143.15244	9.84054	J093236.58+095025.9
20165	143.1332	9.8326	J093231.96+094957.3
20286	148.66438	9.44464	J095439.45+092640.7
20292	148.45512	9.19379	J095349.23+091137.6
20790	227.02043	34.38717	J150804.90+342313.8
22436	139.97726	32.93328	J091954.54+325559.8
22822	147.93713	35.62213	J095144.91+353719.6
22999	155.81842	11.85568	J102316.42+115120.4
23026	156.84157	11.07998	J102721.97+110447.9
23088	156.65042	12.0402	J102636.10+120224.7
23120	158.38593	11.8756	J103332.62+115232.1
23194	158.3893	11.87138	J103333.43+115216.9
23227	159.8048	12.19194	J103913.15+121130.9
23228	159.83344	11.69116	J103920.02+114128.1
23245	160.91283	12.06066	J104339.07+120338.3
23315	160.50311	11.78002	J104200.74+114648.0
23320	160.87476	12.08774	J104329.94+120515.8
23408	163.34319	11.18067	J105322.36+111050.4
23419	162.82713	12.75653	J105118.51+124523.4
23441	163.3176	11.6389	J105316.22+113820.0
23450	164.20244	12.09326	J105648.58+120535.7
23453	164.50122	11.98713	J105800.29+115913.6
23577	167.45541	12.77148	J110949.30+124617.3
23685	170.79846	13.11772	J112311.63+130703.7
24094	185.12575	11.34094	J122030.18+112027.3
24149	183.48438	13.67646	J121356.24+134035.2
24168	184.05154	13.43762	J121612.36+132615.4
24183	184.43379	13.17104	J121744.10+131015.7
24366	189.91194	12.41888	J123938.86+122507.9
24426	189.09468	13.60287	J123622.72+133610.3
24496	169.54129	7.78165	J111809.91+074653.9
24741	184.46172	8.43028	J121750.81+082549.0
24973	218.82655	35.11868	J143518.37+350707.2
25154	196.23924	12.07907	J130457.41+120444.6
25214	198.13673	11.72896	J131232.81+114344.2
25327	203.10098	11.10636	J133224.23+110622.8
25347	202.5798	11.51181	J133019.15+113042.5
25448	202.51624	12.17519	J133003.89+121030.6
25752	135.35239	10.20017	J090124.57+101200.6
25763	135.79688	10.15197	J090311.24+100907.1
25844	139.99895	10.10883	J091959.74+100631.7
25852	139.51881	10.8857	J091804.51+105308.5
26040	148.40462	12.12926	J095337.10+120745.3
26056	147.53003	12.74613	J095007.20+124446.0
26151	149.78651	13.05936	J095908.76+130333.6
26221	154.15997	12.57738	J101638.39+123438.5
26311	155.78993	12.23953	J102309.58+121422.2
26320	155.66132	12.0883	J102238.71+120517.8
26368	154.92207	12.84298	J101941.29+125034.7
26570	159.7746	13.36487	J103905.90+132153.5
26598	158.45827	12.87836	J103349.98+125242.0
26602	158.44756	12.73282	J103347.41+124358.1
26629	160.08652	13.47013	J104020.76+132812.4
26639	160.19188	13.78331	J104046.05+134659.9
26650	122.26162	6.62621	J080902.78+063734.3
26822	192.87112	13.78182	J125129.06+134654.5
26958	236.7264	5.89121	J154654.33+055328.3
27167	9.84028	14.46986	J003921.66+142811.5
28143	189.29752	8.6583	J123711.40+083929.8
28168	190.22902	8.05645	J124054.96+080323.2
28365	235.34412	28.22975	J154122.58+281347.1
28461	191.59448	11.87661	J124622.67+115235.7
29487	239.47736	9.40994	J155754.56+092435.7
29555	160.43985	13.89803	J104145.56+135352.9
29594	161.6652	14.11318	J104639.64+140647.4
29596	161.76176	14.26335	J104702.82+141548.0
29624	165.20973	13.59763	J110050.33+133551.4
29699	167.07643	13.22432	J110818.34+131327.5
29842	170.38234	13.42661	J112131.76+132535.7
29871	173.05179	13.49246	J113212.42+132932.8
29892	172.44315	15.33364	J112946.35+152001.1
29898	172.95416	15.89748	J113149.00+155350.9
30175	184.01112	14.18939	J121602.67+141121.8
30332	185.80109	14.38896	J122312.26+142320.2
30338	185.83159	14.30374	J122319.58+141813.4
30439	188.54295	15.96822	J123410.30+155805.5
30471	189.47166	14.28131	J123753.20+141652.7
30479	189.28362	14.40748	J123708.06+142426.9
30508	194.85928	14.34169	J125926.22+142030.0
30746	212.2854	6.18023	J140908.49+061048.8
30811	214.69038	5.83466	J141845.69+055004.7
31156	239.46674	4.26231	J155752.01+041544.3
31188	210.8	34.6846	J140312.00+344104.5
31592	118.63245	16.8073	J075431.78+164826.2
31775	119.17437	17.99118	J075641.84+175928.2
32257	127.43484	22.42441	J082944.36+222527.8
32308	129.8935	25.47711	J083934.43+252837.6
32568	134.74075	28.90168	J085857.78+285406.0
32619	136.2499	28.34773	J090459.97+282051.8
33039	142.6111	27.77556	J093026.66+274632.0
33737	149.71388	32.07308	J095851.33+320423.0
34723	162.89203	30.20608	J105134.08+301221.8
35649	205.01302	29.1373	J134003.12+290814.2
35981	208.28484	35.71403	J135308.35+354250.5
36169	118.63381	16.8042	J075432.11+164815.1
38462	213.94145	10.43886	J141545.94+102619.8
38472	214.03654	10.59552	J141608.76+103543.8
38591	214.41882	10.58333	J141740.51+103459.9
38717	222.3722	9.07921	J144929.32+090445.1
38748	222.24738	9.50477	J144859.36+093017.1
38758	221.93129	9.53817	J144743.50+093217.4
38809	221.58437	10.52219	J144620.24+103119.8
38964	225.56815	11.91758	J150216.35+115503.2
39119	227.35878	10.28844	J150926.10+101718.3
39270	228.08595	9.34993	J151220.62+092059.7
39465	230.1196	8.28517	J152028.70+081706.6
39548	231.3438	9.7312	J152522.51+094352.3
39567	231.94762	9.62491	J152747.42+093729.6
39595	231.81969	10.04452	J152716.72+100240.2
39605	231.49934	9.79016	J152559.84+094724.5
39606	231.81975	9.76774	J152716.73+094603.8
39607	231.7762	9.79621	J152706.28+094746.3
40024	203.4092	13.23601	J133338.20+131409.6
40247	209.92757	12.73683	J135942.61+124412.5
40257	209.67596	13.45636	J135842.23+132722.9
40317	208.89052	14.76465	J135533.72+144552.7
40439	196.06268	9.22346	J130415.04+091324.4
40494	194.26875	10.62072	J125704.49+103714.5
40500	194.7962	10.50168	J125911.09+103006.0
40570	197.7706	8.80787	J131104.94+084828.3
40781	199.89294	10.45487	J131934.30+102717.5
41323	214.59361	8.0975	J141822.46+080551.0
41728	221.14305	8.9371	J144434.33+085613.5
41743	225.51709	6.82303	J150204.10+064922.9
41783	224.37889	8.39066	J145730.93+082326.3
41869	227.33958	7.07773	J150921.50+070439.8
41904	226.32452	8.15355	J150517.88+080912.7
41969	228.88145	6.37038	J151531.54+062213.3
41974	229.49294	6.74595	J151758.30+064445.4
42013	229.01863	6.84763	J151604.47+065051.4
42020	228.8186	6.65515	J151516.46+063918.5
42025	228.78146	7.02125	J151507.55+070116.5
42140	228.88321	7.47475	J151531.97+072829.0
42141	229.07976	7.16234	J151619.14+070944.4
42167	229.7236	7.57592	J151853.66+073433.3
42174	229.57166	7.13251	J151817.19+070757.0
42191	223.51558	30.84625	J145403.73+305046.4
42402	237.85509	25.76084	J155125.21+254539.0
44710	207.98705	29.31239	J135156.88+291844.6
44718	207.64362	29.37289	J135034.46+292222.4
44892	209.03877	25.19546	J135609.30+251143.6
44942	210.52461	26.06089	J140205.90+260339.1
47221	237.26115	17.94044	J154902.67+175625.5
48369	167.80421	28.7119	J111113.01+284242.8
48521	169.41214	26.58502	J111738.91+263506.0
48604	171.94283	26.9596	J112746.27+265734.5
50550	190.36674	28.7912	J124128.01+284728.3
51025	199.44	26.48633	J131745.60+262910.7
51161	201.3449	27.24909	J132522.77+271456.7
51276	118.5187	13.95411	J075404.48+135714.7
51336	119.07128	14.60269	J075617.10+143609.6
51416	118.99982	12.98147	J075559.95+125853.2
51563	121.17628	15.77574	J080442.30+154632.6
51580	121.01604	15.08846	J080403.84+150518.4
52297	134.35014	20.71053	J085724.03+204237.9
55541	158.1958	21.21564	J103246.99+211256.3
56304	121.3921	10.3934	J080534.10+102336.2
56312	121.23475	10.43918	J080456.34+102621.0
56319	120.84485	9.96273	J080322.76+095745.8
56320	120.92614	10.03327	J080342.27+100159.7
56375	119.33214	11.20606	J075719.71+111221.8
56486	131.36922	14.57379	J084528.61+143425.6
56509	132.68866	11.81083	J085045.27+114839.0
56612	135.78226	13.69707	J090307.74+134149.4
56632	136.15446	13.55411	J090437.07+133314.7
56650	135.78418	13.51777	J090308.20+133103.9
56662	135.72888	13.6607	J090254.93+133938.5
57017	140.622	14.46205	J092229.28+142743.3
101000	27.22137260437	13.423945426941	J014853.13+132526.1
101004	20.377769470215	14.504983901978	J012130.66+143017.9
101007	20.288898468018	15.694773674011	J012109.32+154140.9
101021	19.223274230957	0.15312722325325	J011653.59+000911.3
101025	18.655757904053	1.1814939975739	J011437.36+011053.4
101030	27.015018463135	12.93461894989	J014803.60+125604.6
101037	24.404718399048	0.040174420922995	J013737.13+000224.7
107026	118.63758087158	29.710783004761	J075433.00+294238.7
108006	125.60803222656	4.1632528305054	J082225.92+040947.7
108016	128.48606872559	26.972661972046	J083356.65+265821.5
108019	122.55074310303	22.772291183472	J081012.17+224620.2
108021	133.82807922363	27.346164703369	J085518.73+272046.2
108026	128.01458740234	24.010917663574	J083203.49+240039.2
108029	122.81633758545	25.17936706543	J081115.92+251045.7
108045	124.77126312256	21.791400909424	J081905.10+214729.0
108050	124.8324508667	21.058851242065	J081919.78+210331.8
108051	134.01658630371	13.422026634216	J085603.98+132519.2
108054	134.9543762207	5.0608525276184	J085949.04+050339.0
108064	126.53099060059	21.456708908081	J082607.43+212724.1
108072	124.88379669189	21.394304275513	J081932.11+212339.4
108080	120.393699646	9.3048515319824	J080134.48+091817.4
108093	128.87576293945	23.676208496094	J083530.18+234034.3
108094	130.7349395752	13.641590118408	J084256.38+133829.6
108101	126.75582122803	21.70677947998	J082701.39+214224.3
108103	125.14373016357	21.105493545532	J082034.49+210619.7
108106	122.52916717529	18.638355255127	J081006.99+183818.0
108111	120.31920623779	9.2648181915283	J080116.60+091553.3
108113	124.60739135742	29.95955657959	J081825.78+295734.3
108114	124.85119628906	21.003562927246	J081924.28+210012.8
108129	123.06176757812	35.157051086426	J081214.82+350925.3
108142	124.81607818604	19.313241958618	J081915.85+191847.6
108144	121.57968139648	17.594772338867	J080619.13+173541.0
108147	123.8475189209	28.735349655151	J081523.41+284407.2
108148	130.71951293945	25.070413589478	J084252.67+250413.4
109005	143.77418518066	9.649227142334	J093505.80+093857.1
109006	146.92558288574	9.1610546112061	J094742.13+090939.7
109010	143.51132202148	9.4792041778564	J093402.71+092845.1
109011	146.39772033691	4.4105916023254	J094535.44+042438.1
109014	136.32641601562	18.442203521729	J090518.33+182631.9
