Session Info
First Scan Start	2025-11-18 15:19 UTC
Last Scan End	2025-11-18 20:16 UTC
Total Size	1.44 GiB
# Files	500
# Scans	83
Total Obs. Time	3:57:00
Total Obs. Span	4:57:22
Min. Scan Duration	0:00:30
Max. Scan Duration	0:03:00
Antenna Beam Intra-Scan Odometer	9.68°
Antenna Beam Odometer	None
Az. Scan Odometer	44.576 m
Az. Odometer	
Az. Displacement


People
Observer	OPERATOR
Operator	David Rose


DSS Periods (1)
DSS Session	PI	State	Start	Duration	Target	Receivers
GBT25A-474 - 03	Alberto Bolatto	Scheduled	2025-11-18 15:15 UTC	5.0	NGC5480, NGC5633, UGC09476, UGC08733, UGC10972, UGC09542, NGC5934, UGC09598, NGC6154, UGC08781, IC4215, UGC10905, UGC09711, UGC09629, UGC08234, NGC6427 (4.58, 0.67)	L


Executed Astrid Scripts (1)
Script Name	Start	End	Duration	State	Observer	# Scans	Script md5
25A474_operator	2025-11-18 15:15 UTC	2025-11-18 15:15 UTC	0:00:00	In Progress	OPERATOR	83	—


Scans (83) ¶
Start	End	Duration	#	Observer	Frontends	Backends	Object	Proc. Name	Proc. Type	# Subscans	Rest Freq.	Sky Freq.	Astrid Script
2025-11-18 16:30 UTC	2025-11-18 16:33 UTC	0:03:00	22	OPERATOR	Rcvr1_2	VEGAS	UGC08781	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 16:34 UTC	2025-11-18 16:37 UTC	0:03:00	23	OPERATOR	Rcvr1_2	VEGAS	UGC08781	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 16:37 UTC	2025-11-18 16:40 UTC	0:03:00	24	OPERATOR	Rcvr1_2	VEGAS	UGC08781	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 16:41 UTC	2025-11-18 16:44 UTC	0:03:00	25	OPERATOR	Rcvr1_2	VEGAS	UGC08781	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 16:44 UTC	2025-11-18 16:47 UTC	0:03:00	26	OPERATOR	Rcvr1_2	VEGAS	UGC08781	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 16:47 UTC	2025-11-18 16:50 UTC	0:03:00	27	OPERATOR	Rcvr1_2	VEGAS	UGC08781	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 16:51 UTC	2025-11-18 16:54 UTC	0:03:00	28	OPERATOR	Rcvr1_2	VEGAS	UGC08781	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 16:54 UTC	2025-11-18 16:57 UTC	0:03:00	29	OPERATOR	Rcvr1_2	VEGAS	UGC08781	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 16:58 UTC	2025-11-18 17:01 UTC	0:03:00	30	OPERATOR	Rcvr1_2	VEGAS	UGC08781	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 17:01 UTC	2025-11-18 17:04 UTC	0:03:00	31	OPERATOR	Rcvr1_2	VEGAS	UGC08781	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 17:06 UTC	2025-11-18 17:09 UTC	0:03:00	32	OPERATOR	Rcvr1_2	VEGAS	IC4215	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 17:09 UTC	2025-11-18 17:12 UTC	0:03:00	33	OPERATOR	Rcvr1_2	VEGAS	IC4215	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 17:12 UTC	2025-11-18 17:15 UTC	0:03:00	34	OPERATOR	Rcvr1_2	VEGAS	IC4215	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 17:16 UTC	2025-11-18 17:19 UTC	0:03:00	35	OPERATOR	Rcvr1_2	VEGAS	IC4215	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 17:19 UTC	2025-11-18 17:22 UTC	0:03:00	36	OPERATOR	Rcvr1_2	VEGAS	IC4215	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 17:22 UTC	2025-11-18 17:25 UTC	0:03:00	37	OPERATOR	Rcvr1_2	VEGAS	IC4215	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 17:26 UTC	2025-11-18 17:29 UTC	0:03:00	38	OPERATOR	Rcvr1_2	VEGAS	IC4215	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 17:29 UTC	2025-11-18 17:32 UTC	0:03:00	39	OPERATOR	Rcvr1_2	VEGAS	IC4215	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 17:32 UTC	2025-11-18 17:35 UTC	0:03:00	40	OPERATOR	Rcvr1_2	VEGAS	IC4215	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 17:36 UTC	2025-11-18 17:39 UTC	0:03:00	41	OPERATOR	Rcvr1_2	VEGAS	IC4215	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 17:44 UTC	2025-11-18 17:47 UTC	0:03:00	42	OPERATOR	Rcvr1_2	VEGAS	UGC10905	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 17:47 UTC	2025-11-18 17:50 UTC	0:03:00	43	OPERATOR	Rcvr1_2	VEGAS	UGC10905	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 17:51 UTC	2025-11-18 17:54 UTC	0:03:00	44	OPERATOR	Rcvr1_2	VEGAS	UGC10905	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 17:54 UTC	2025-11-18 17:57 UTC	0:03:00	45	OPERATOR	Rcvr1_2	VEGAS	UGC10905	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 17:58 UTC	2025-11-18 18:01 UTC	0:03:00	46	OPERATOR	Rcvr1_2	VEGAS	UGC10905	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 18:01 UTC	2025-11-18 18:04 UTC	0:03:00	47	OPERATOR	Rcvr1_2	VEGAS	UGC10905	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 18:05 UTC	2025-11-18 18:08 UTC	0:03:00	48	OPERATOR	Rcvr1_2	VEGAS	UGC10905	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 18:08 UTC	2025-11-18 18:11 UTC	0:03:00	49	OPERATOR	Rcvr1_2	VEGAS	UGC10905	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 18:11 UTC	2025-11-18 18:14 UTC	0:03:00	50	OPERATOR	Rcvr1_2	VEGAS	UGC10905	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 18:15 UTC	2025-11-18 18:18 UTC	0:03:00	51	OPERATOR	Rcvr1_2	VEGAS	UGC10905	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 18:21 UTC	2025-11-18 18:24 UTC	0:03:00	52	OPERATOR	Rcvr1_2	VEGAS	UGC09711	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 18:25 UTC	2025-11-18 18:28 UTC	0:03:00	53	OPERATOR	Rcvr1_2	VEGAS	UGC09711	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 18:28 UTC	2025-11-18 18:31 UTC	0:03:00	54	OPERATOR	Rcvr1_2	VEGAS	UGC09711	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 18:31 UTC	2025-11-18 18:34 UTC	0:03:00	55	OPERATOR	Rcvr1_2	VEGAS	UGC09711	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 18:35 UTC	2025-11-18 18:38 UTC	0:03:00	56	OPERATOR	Rcvr1_2	VEGAS	UGC09711	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 18:38 UTC	2025-11-18 18:41 UTC	0:03:00	57	OPERATOR	Rcvr1_2	VEGAS	UGC09711	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 18:41 UTC	2025-11-18 18:44 UTC	0:03:00	58	OPERATOR	Rcvr1_2	VEGAS	UGC09711	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 18:45 UTC	2025-11-18 18:48 UTC	0:03:00	59	OPERATOR	Rcvr1_2	VEGAS	UGC09711	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 18:48 UTC	2025-11-18 18:51 UTC	0:03:00	60	OPERATOR	Rcvr1_2	VEGAS	UGC09711	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 18:51 UTC	2025-11-18 18:54 UTC	0:03:00	61	OPERATOR	Rcvr1_2	VEGAS	UGC09711	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 18:58 UTC	2025-11-18 19:01 UTC	0:03:00	62	OPERATOR	Rcvr1_2	VEGAS	UGC09629	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 19:01 UTC	2025-11-18 19:04 UTC	0:03:00	63	OPERATOR	Rcvr1_2	VEGAS	UGC09629	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
