spectral_axis flux uncertainty weight mask baseline
1436493590.0 nan 0.0 1.0 1 0.0
1436490538.2421875 -0.0026155379806705697 0.0 1.0 0 0.0
1436487486.484375 -0.0008243165377735193 0.0 1.0 0 0.0
1436484434.7265625 -0.0015847510071868847 0.0 1.0 0 0.0
1436481382.96875 0.008048065288724166 0.0 1.0 0 0.0
1436478331.2109375 0.011061320890122194 0.0 1.0 0 0.0
1436475279.453125 0.00880670961382132 0.0 1.0 0 0.0
1436472227.6953125 -0.00853318124505022 0.0 1.0 0 0.0
1436469175.9375 -0.00512158873373707 0.0 1.0 0 0.0
1436466124.1796875 0.0131395295928757 0.0 1.0 0 0.0
1436463072.421875 0.015557637174826467 0.0 1.0 0 0.0
1436460020.6640625 0.01207822104940318 0.0 1.0 0 0.0
1436456968.90625 0.019161827513627414 0.0 1.0 0 0.0
1436453917.1484375 0.003368819448058428 0.0 1.0 0 0.0
1436450865.390625 0.006264702704391176 0.0 1.0 0 0.0
1436447813.6328125 -0.00421658931858259 0.0 1.0 0 0.0
1436444761.875 0.0010086671410264238 0.0 1.0 0 0.0
1436441710.1171875 -0.0012258719958349218 0.0 1.0 0 0.0
1436438658.359375 0.0039077411212827635 0.0 1.0 0 0.0
1436435606.6015625 0.01059461415349873 0.0 1.0 0 0.0
1436432554.84375 0.0035957414360693264 0.0 1.0 0 0.0
1436429503.0859375 0.007164467064152889 0.0 1.0 0 0.0
1436426451.328125 0.010694047804836147 0.0 1.0 0 0.0
1436423399.5703125 0.010889150487285962 0.0 1.0 0 0.0
1436420347.8125 -0.0015496776149902945 0.0 1.0 0 0.0
1436417296.0546875 0.015185346211747625 0.0 1.0 0 0.0
1436414244.296875 0.02112152375057772 0.0 1.0 0 0.0
1436411192.5390625 -0.00457014006850416 0.0 1.0 0 0.0
1436408140.78125 0.01982942604078121 0.0 1.0 0 0.0
1436405089.0234375 0.003957214965531375 0.0 1.0 0 0.0
1436402037.265625 0.01187540403270202 0.0 1.0 0 0.0
1436398985.5078125 0.012473919013764235 0.0 1.0 0 0.0
1436395933.75 0.015936061226957617 0.0 1.0 0 0.0
1436392881.9921875 0.004350154157109592 0.0 1.0 0 0.0
1436389830.234375 0.009168068845954617 0.0 1.0 0 0.0
1436386778.4765625 0.007871360430227639 0.0 1.0 0 0.0
1436383726.71875 0.01530976817174782 0.0 1.0 0 0.0
1436380674.9609375 0.016547315656496194 0.0 1.0 0 0.0
1436377623.203125 0.00424613801163743 0.0 1.0 0 0.0
1436374571.4453125 0.012019959114836973 0.0 1.0 0 0.0
1436371519.6875 0.006997896609142051 0.0 1.0 0 0.0
1436368467.9296875 -0.0020101824413484267 0.0 1.0 0 0.0
1436365416.171875 0.0021967239198952488 0.0 1.0 0 0.0
1436362364.4140625 -0.0005824747642253747 0.0 1.0 0 0.0
1436359312.65625 0.013664605237685876 0.0 1.0 0 0.0
1436356260.8984375 -0.0023477356274430403 0.0 1.0 0 0.0
1436353209.140625 -0.02635495424953717 0.0 1.0 0 0.0
1436350157.3828125 -0.036376054349223426 0.0 1.0 0 0.0
1436347105.625 -0.04421156049667265 0.0 1.0 0 0.0
1436344053.8671875 0.014539915210777745 0.0 1.0 0 0.0
1436341002.109375 0.0009070404753621754 0.0 1.0 0 0.0
1436337950.3515625 0.010968925511602215 0.0 1.0 0 0.0
1436334898.59375 0.007323924477881845 0.0 1.0 0 0.0
